,client_id,variation
0,169,Unknown
1,555,Test
2,647,Test
3,722,Unknown
4,934,Test
5,1028,Control
6,1104,Control
7,1186,Control
8,1195,Control
9,1197,Control
10,1336,Test
11,1346,Test
12,1368,Control
13,1516,Test
14,1543,Unknown
15,1643,Test
16,1677,Unknown
17,1702,Test
18,1755,Test
19,1836,Test
20,1894,Unknown
21,1936,Test
22,2078,Unknown
23,2130,Unknown
24,2439,Control
25,2581,Control
26,2720,Test
27,3232,Test
28,3572,Test
29,3647,Control
30,3743,Control
31,3989,Unknown
32,4369,Test
33,4484,Test
34,4603,Test
35,4717,Test
36,4838,Unknown
37,4870,Test
38,4955,Unknown
39,5271,Unknown
40,5354,Control
41,5444,Unknown
42,5459,Unknown
43,5845,Test
44,6022,Test
45,6096,Unknown
46,6150,Test
47,6468,Unknown
48,6567,Unknown
49,6642,Control
50,6904,Test
51,6977,Control
52,6985,Control
53,7005,Unknown
54,7020,Control
55,7561,Test
56,7563,Test
57,7567,Control
58,7657,Test
59,7723,Test
60,7856,Unknown
61,7934,Test
62,8023,Test
63,8030,Unknown
64,8039,Control
65,8055,Test
66,8101,Control
67,8124,Control
68,8583,Unknown
69,8610,Test
70,8673,Unknown
71,8712,Test
72,8820,Test
73,9229,Control
74,9536,Unknown
75,9751,Test
76,9767,Control
77,9845,Control
78,9916,Test
79,10344,Control
80,10363,Test
81,10434,Unknown
82,10552,Unknown
83,11040,Test
84,11054,Control
85,11070,Control
86,11122,Control
87,11309,Test
88,11880,Test
89,11922,Unknown
90,12045,Control
91,12115,Unknown
92,12785,Test
93,13009,Control
94,13183,Unknown
95,13735,Test
96,13831,Control
97,14638,Unknown
98,14664,Unknown
99,14690,Test
100,14716,Unknown
101,14775,Control
102,15050,Test
103,15189,Test
104,15246,Unknown
105,15352,Unknown
106,15688,Unknown
107,15708,Unknown
108,15753,Test
109,15807,Test
110,16095,Control
111,16098,Test
112,16135,Control
113,16202,Control
114,16291,Unknown
115,16295,Test
116,16549,Control
117,16679,Control
118,16744,Control
119,16747,Control
120,16881,Test
121,17008,Control
122,17036,Control
123,17160,Control
124,17170,Test
125,17318,Test
126,17404,Test
127,18449,Unknown
128,18549,Test
129,18654,Unknown
130,18660,Control
131,18973,Control
132,19060,Test
133,19263,Unknown
134,19573,Unknown
135,19613,Control
136,19782,Control
137,19813,Control
138,19832,Control
139,20006,Unknown
140,20091,Control
141,20108,Unknown
142,20185,Test
143,20537,Control
144,20564,Test
145,20643,Test
146,20668,Test
147,20898,Control
148,21011,Unknown
149,21098,Unknown
150,21200,Test
151,21242,Control
152,21281,Test
153,21353,Control
154,21403,Test
155,21498,Control
156,21522,Test
157,21596,Test
158,21719,Control
159,21940,Control
160,21970,Control
161,22007,Test
162,22714,Unknown
163,22793,Test
164,22885,Control
165,23175,Unknown
166,23276,Control
167,23308,Unknown
168,23400,Unknown
169,23538,Unknown
170,23690,Unknown
171,23864,Control
172,23914,Test
173,24002,Unknown
174,24079,Control
175,24443,Test
176,24491,Unknown
177,24572,Test
178,24586,Unknown
179,24703,Test
180,24710,Control
181,24841,Test
182,25022,Test
183,25026,Test
184,25043,Control
185,25378,Unknown
186,25766,Control
187,26036,Test
188,26070,Test
189,26105,Test
190,26196,Unknown
191,26211,Control
192,26286,Control
193,26451,Unknown
194,26696,Test
195,26747,Unknown
196,26763,Unknown
197,26938,Unknown
198,27021,Control
199,27075,Test
200,27241,Control
201,27270,Unknown
202,27554,Control
203,27764,Test
204,27907,Test
205,27988,Control
206,28076,Unknown
207,28241,Test
208,28371,Test
209,28542,Control
210,28705,Control
211,28710,Unknown
212,28845,Control
213,28857,Control
214,28911,Unknown
215,29079,Unknown
216,29227,Test
217,29527,Test
218,29595,Control
219,29716,Unknown
220,30096,Unknown
221,30318,Test
222,30360,Unknown
223,30462,Test
224,30493,Test
225,30630,Unknown
226,31166,Unknown
227,31191,Control
228,31264,Control
229,31336,Test
230,31404,Test
231,31499,Test
232,31502,Control
233,31597,Test
234,31715,Control
235,31766,Test
236,32084,Unknown
237,32197,Control
238,32305,Control
239,32429,Unknown
240,32471,Test
241,32521,Test
242,32746,Test
243,32859,Control
244,33190,Control
245,33265,Test
246,33463,Control
247,33472,Test
248,33752,Test
249,34067,Control
250,34101,Test
251,34267,Control
